id,image data,nlp data,num_data,revenue
203,10786846,18426426,217918850,527068851
204,15012841,6227852.5,3110828.2,10000000
205,9169271,8803097,1903331.1,2801508
206,1376923.9,1936202,1935264.8,1543112
207,17533574,22878142,32420524,66000000
208,9247823,9551434,1835238.9,4352094
209,14492159,16106440,139913860,108103450
210,10003928,8122418,12329271,26570463
211,23648058,14785252,177832640,470654000
212,9102208,12000096,2819394.5,3418141
213,10730642,9822026,2647123.2,31000000
214,12220879,11930371,25558372,1969193
215,13392523,7413501.5,57933932,173965010
216,6024411,14466777,48248930,83061158
217,11384888,12727408,17687794,85300000
218,8927463,6510255,2456209.8,5010362
219,8390606,4261303.5,432264.84,3166000
220,8470287,8517293,5984672,10652498
221,13176862,9381228,2672919,754935
222,13041046,448512.47,249393.8,31649
223,3303470.8,8455461,124652936,352927224
224,3037374.8,6933346,322792.25,500
225,12170226,9116989,10252708,6585516
226,15143579,10899502,73116180,28931401
227,14410128,6260609,9507729,26096852
228,7412548.5,10656519,16372602,638641
229,10390212,9588446,2929351.8,2474000
230,20817524,14032874,122038490,72178895
231,8323071.5,509559.2,1268354.2,1001437
232,7400087,1810822.1,442168,2225098
233,2922866,321735.1,100749.22,206728
234,15347858,19209728,62726516,8574339
235,19850744,14468157,10271598,27297451
236,9856154,11058434,12882617,5600000
237,11794788,6294685.5,2496525.2,1622164
238,13081610,12347948,60865120,505000000
239,13027992,10461762,12189501,57588485
240,10109759,11885370,1278194.8,5790448
241,21276838,12003579,75105070,18662027
242,7267852,13001074,4276262.5,80768
243,7018772.5,9189237,5816638.5,17519169
244,14498403,11072037,5958054.5,43885000
245,11823859,11252207,37930760,18755936
246,9955698,16492520,132352390,351583407
247,13241105,15367576,67481280,92180910
248,4718695,23592360,164696660,147080413
249,16476006,11377777,6594740,14560084
250,1009127.6,3222049,13916100,42700000
251,8492890,15099291,119842110,10017322
252,11067069,12430295,9219596,5001655
253,324737.88,429007.12,158443.47,30292
254,6143149,2548887.2,183417.55,34659
255,10966824,14281689,6538347,7800000
256,26601786,20352644,128664300,203427584
257,1530127.1,11108221,2040739.5,9000000
258,4579216,13191117,18453766,2287714
259,605259.75,5443830,206865.81,140021
260,656395.8,7881629.5,3870695,187349
261,13733774,20082592,63155212,87528173
262,15924596,8658043,3304916.8,17636261
263,18685824,12713850,14412554,14000
264,16595022,904925.6,791055.1,143597
265,21125830,11152375,41248356,13060843
266,10379429,12437594,160222690,56255142
267,12419903,8546988,50261720,3151130
268,12552674,19596108,48149628,23937870
269,70602.72,1587.9512,15689.036,20
270,2717561,15370605,46990240,72417394
271,10095242,18763088,132913704,162966177
272,14496360,17643564,6442826.5,46044400
273,22007532,18236132,80370840,83761844
274,19117740,12545413,142645280,250821495
275,5626074.5,6322828,1036771.56,602042
276,12743021,11679263,1748044.1,14000000
277,14564923,18142466,135799060,164000000
278,3559750.2,1815028.1,2079005.1,23020
279,11725789,15257745,180188210,217764291
280,9477683,2841236.2,4913821,10
281,7827616.5,12101945,136860140,66486080
282,1372866.5,10253526,5095778.5,12902790
283,517029,4558239,2468587.8,23550000
284,17348314,10490062,37926744,48126384
285,19661222,11619037,6002597,1614266
286,14999944,11516621,118421120,276921998
287,13624956,4414016,5577468,6841570
288,16611923,12780645,10259767,23510601
289,8295324,12935574,20758476,11373501
290,12651998,11749404,22128290,254700832
291,2482213.5,10177194,12699289,5367030
292,11490929,10330894,117034780,163442937
293,2795856.5,9159836,498639.22,310724
294,23351722,16773383,369778020,653428261
295,16686642,11756961,6693421,5873871
296,13666762,16922156,54346972,52322400
297,8044534.5,21131762,12456197,56489558
298,8083021,15349125,1510056.8,9563393
299,10135915,6430670,2770200,26055
300,5549344,9867804,42950204,48572000
301,14427455,10041225,3007304,2850000
302,11566305,6299440,3826138,2945242
303,7345471,10255769,1424612.8,22886222
304,12066928,13690302,5913329,6193901
305,13389250,14879255,240510340,193772504
306,13839293,18654036,174952400,100086793
307,14677850,12378305,176830580,22678555
308,11665490,12676074,22391622,21800302
309,13838594,16416288,40679350,110230332
310,2834883.5,11769074,13685362,8459458
311,5995931,632582.06,5596489,12250
312,12027475,6833365.5,2688278,12
313,4060092.8,1159910.1,615687.6,6297
314,17501294,21435366,343462620,350170057
315,15081483,13058044,143062290,113020255
316,21259440,23476456,89595480,118338361
317,19931438,16703070,261209800,286140700
318,10398850,13395794,24308554,27793200
319,14353620,12296183,14501039,68706993
320,11760151,7422091.5,448426.9,750000
321,12317536,18717452,167030340,183018522
322,13419789,19331270,368454140,532950503
323,14726286,13333682,136548980,161626121
324,16531586,10940234,6725660,5669831
325,12719940,15706582,144309070,294456605
326,14649344,10054293,34710120,116400000
327,15166301,6784840,42235030,60965854
328,3534657.5,8195076,2150864,20529194
329,35761160,14599954,209134720,384335608
330,12819235,5032942.5,3166299.2,5588800
331,4828583.5,11566479,11627686,5837674
332,7751299.5,2954147.2,2692022.2,346592
333,1387539.1,17092702,3617470.2,3225000
334,554992.9,2110119.8,610264,3
335,9181994,16106055,11029005,38307627
336,18248656,16048316,261633570,117698894
337,2105431.2,7885599,1172198.4,9833553
338,10375877,9836442,36750580,27610873
339,2426598.8,11121155,3303181.8,2200000
340,2263629.8,7903659,5637535,1289998
341,11729900,13811815,51495936,60527873
342,689852.6,6439396.5,242277.52,152810
343,1873350.5,13904343,107610.06,88000
344,14529439,22497032,105635150,50549107
345,15056472,13969962,7383982,14681192
346,9150395,14717639,82969220,87416021
347,6858371.5,4870212.5,4599591.5,1
348,9188621,19474386,20772460,3301446
349,6115033.5,813197.75,288885.66,3515061
350,11401338,12863558,186031470,121790373
351,16122612,20949068,39721570,116019547
352,13710625,7548487.5,3529563.8,9500000
353,1643949.6,9475084,3411169.5,10229331
354,20580588,22716974,17876436,10089373
355,11451372,575506.9,338296.6,393970
356,26072896,18845862,204347600,119269486
357,18562470,22810996,327764960,788241776
358,22440108,24665124,79177360,14567883
359,12336948,15471290,113643030,93525586
360,24494762,4509258.5,1413252.6,3162153
361,12586708,7839489,6534203.5,9700000
362,2436025,11178460,3208440,5249225
363,4042697.8,5723824,7086314.5,25762027
364,6643455.5,13503362,175883280,60289912
365,7028788.5,5004208.5,1769372.9,424760
366,11799804,9533462,2526586,101332962
367,12917127,12581163,31181184,1644060
368,12656277,3500665,3098459,3351735
369,21432072,10441359,3107635.2,64110728
370,2318497.5,9198915,569448.5,1192322
371,11018860,2415862.2,1788064.2,4100000
372,12771076,25574438,69204744,91753202
373,21499806,2576611.8,7684164.5,10609321
374,5103436.5,4383438.5,1589387.6,17000000
375,16384607,17487284,4526283.5,17374595
376,18330386,15143641,33126608,100491683
377,13678717,11991288,21692184,5080409
378,10920505,16692571,29575564,19478106
379,12680599,6271714.5,2481187.2,830129
380,9855936,18804532,242993810,170877916
381,18851568,7508251.5,81552670,62172050
382,4937787.5,1440823.1,3033717.2,2000000
383,14307988,14415396,18332944,68929150
384,16566961,18568002,114118250,100230832
385,12332895,9686390,74322930,229736344
386,939451.06,4626867.5,765140.2,12000
387,1949036,16158298,7044177.5,1345903
388,9161296,11177626,6483373,2128186
389,9707730,14477820,151786190,195745823
390,2599691.8,3689816.8,1656636,10703234
391,14703936,14411059,5049873,9868942
392,8352048.5,3642648.2,252190.86,126463
393,25419320,16271798,129471380,129832389
394,14477140,11013564,35132772,72179579
395,8196386,6594015.5,4513019,900689
396,6840373.5,8408962,1049744.9,32230907
397,3326972.2,8678312,1119670.8,1919653
398,15901854,12804108,86739830,75505856
399,6774107.5,9363729,8112578,7820688
400,11131993,15702263,34127020,58405313
401,9326504,3092324.5,2093059,6000000
402,8897141,1085203.1,897717.3,8251
403,16009766,13668151,2371697,1469
404,21131438,11574482,1644535.2,8143225
405,12368249,11848648,49432490,125586134
406,11829905,18065446,28864772,14110589
407,12582861,6159914,10723282,6682098
408,12109384,15628494,49991160,40485039
409,3488515.2,10968526,5075497,4104962
410,26370180,19286904,191318100,183316455
411,12034921,19135648,122572460,148336445
412,6218205.5,15990859,38265516,97594140
413,508098.8,6867232,1559565.9,966214
414,17028442,12923192,137068140,179379533
415,13282340,19483786,68407944,149705852
416,14010675,2387638,4027895,69932387
417,23216860,8288307.5,4320501.5,373530
418,13628517,10968256,9926698,4601043
419,1342172,10560538,646678.3,5000000
420,8612194,13214137,147751440,151119219
421,13906214,11982560,15468723,40996665
422,3386015,11164507,12061304,296557
423,24679120,8356640.5,16851972,29657751
424,950706.3,1039801.94,472076.72,706000
425,9978806,2640333,1285144.5,641100
426,3597011.8,11505526,16089878,18197398
427,1071398.8,6717066.5,647186.44,2012927
428,22177652,5857410.5,729701.3,1258000
429,14742256,17591782,358169200,109676311
430,2721319,6749677.5,6838097.5,3400278
431,11536606,10382509,129281520,96060858
432,4224749.5,1734498.6,1739550.9,109130
433,1813322.9,10760124,89004990,147845033
434,18663902,11586124,25108686,11130889
435,2230015.2,12287979,6389151,300859
436,6801294.5,3391472.8,1587068.1,70918
437,10369657,24253260,90025120,160583018
438,10682609,13555219,5412753,50888000
439,14941240,5395960.5,1583607.9,285930
440,19484754,24167980,260353260,337580051
441,4427759.5,3163126.8,3032706,1986615
442,18237400,687443.56,275425.22,832735
443,2244432.2,1014646.7,3322252.2,4300000
444,1147254.9,3230654,2713484.5,47748
445,9785672,3095516.5,865791.9,343786
446,6207666,19918452,12368222,875386
447,18878770,14987648,85073864,254134910
448,8785200,16577220,161360670,315156409
449,25931724,17462968,70670630,5989640
450,5263230,9526415,8468005,12
451,11577023,5805375.5,518208.53,1787926
452,14369816,2111440.2,975466.44,1009620
453,9167317,9820555,12678478,12534961
454,6699108.5,7368937.5,438059.1,3790493
455,24792464,6505242.5,2018576,4910682
456,1191340.8,11544529,10569089,6000000
457,571606.8,4311298.5,337180.97,340147
458,10701776,13879439,49791800,88923251
459,11142279,15077158,43629636,25405445
460,2129089.5,4416666,306000.47,203781
461,18954670,18129504,38143624,147880543
462,18286906,19034724,211321870,171120329
463,13372745,10685727,10910950,126297830
464,20628376,20404554,1693232.8,15369573
465,11369659,15072187,3612973.8,18782400
466,8584867,15463848,53880776,270000000
467,6976492,4090991.2,11064556,13620075
468,1350197.9,1592679.4,3017048.5,318982
469,7040877,15751147,24118152,115103979
470,1371133.2,9398291,1350278.4,1672730
471,5935446.5,17051430,270446940,459270619
472,6493787.5,14693077,9390251,174999005
473,1785853.1,10917263,571368.9,23000
474,5873997,14049512,13119072,6500000
475,979608.9,770117.94,1183512.2,1612100
476,9187036,9272938,762181.94,6375979
477,13206508,4408636.5,4787731.5,4267218
478,11758399,20163324,17573040,22165608
479,15930359,12356261,3290612,16589540
480,969437.56,13695606,381497.72,1300000
481,8239259.5,16836928,4374454,9400000
482,12257744,6432652.5,43432224,35743308
483,1587073.1,2771265,873134.9,187674
484,12387120,10985906,2327214.2,3335984
485,12562480,11341197,13244032,15478800
486,15524815,11508560,71056770,186883563
487,23813744,10487528,7206198,3468423
488,12795049,10606869,78953100,108782847
489,888077.6,2296967.5,752568,609524
490,6732554.5,5668225.5,5740380,1725381
491,14237870,17226068,37749732,63215872
492,20677796,8576016,2640158.5,66351
493,6366905.5,8283203.5,5336027.5,37803872
494,452891.5,10428914,430975.4,7306
495,11601551,13947496,11889610,11838218
496,9531608,10282934,2479382.2,3600000
497,18443450,21585478,5313627.5,44065653
498,8884309,583863.75,209778.19,25
499,18812356,17485128,160369630,473226958
500,16295973,10416028,1542408.4,741766
501,11545834,8054766,78694050,52034889
502,12513809,10956858,3689326.8,316472
503,1340872.4,10582377,14595466,13071518
504,1487997.8,6197195.5,4825924.5,11750000
505,14315761,7179025,734242.7,10759
506,8300630.5,6861132.5,33990924,6673422
507,10295843,24600258,116891570,102367405
508,7980578,6542865,14595688,3221152
509,6231792.5,10078826,5591587.5,13865435
510,16976136,10774725,23840760,9600000
511,11196378,17375728,49388080,194647323
512,7667604,7893591.5,715059.9,2500000
513,13387457,19968524,26639402,101646581
514,10997178,6577134.5,539954.1,53447
515,13552968,10121654,22091608,21133087
516,6422836.5,3613065.5,3728514.8,6000000
517,12301981,10580809,92380440,123726688
518,25165898,24555036,939544260,820580447
519,15598806,9965045,49037436,28258060
520,4472992.5,10177929,16851846,18195610
521,5517119.5,543471.44,351936.97,365522
522,17506356,7656631.5,18232438,28883511
523,21019294,10881663,20962576,122700000
524,20551506,8856254,5396429,8500000
525,18237240,10137749,4133996,25345000
526,9232320,21642634,28451560,17425000
527,15882631,15542499,75596824,41819064
528,8822378,19662762,113784610,60000000
529,4981995.5,11960176,44941756,38159905
530,1926562,13270162,4542169.5,36000000
531,10898878,2514786.2,246794.12,226286
532,7079505,17852416,16871872,9697739
533,18140268,27203176,100044450,126248813
534,883328.9,9918784,862705.94,46474
535,20884784,11903902,31613268,9323833
536,1417732.6,3233435.8,834952.7,19184015
537,12514838,15809388,190732690,335062621
538,7014221,18672058,285210300,474171806
539,5373447.5,3403212,322848.72,621951
540,20991134,19880696,261557860,128388320
541,13078502,6992860,20726990,7993039
542,12914127,17962236,108542780,40002112
543,11599055,21646236,536420320,926287400
544,5103715.5,12477058,4103164.2,20000000
545,11671379,13401760,1147403.5,7000000
546,8468199,10596975,49208730,105834556
547,22478264,12369688,7237526,16324573
548,7790526.5,18402680,14156765,81705746
549,477391.34,5185020.5,167769,238073
550,13487477,12463370,37642820,97837138
551,19537824,19427170,129309464,104399548
552,16651500,23543266,79989690,141591324
553,12300507,10140589,6264385.5,11081586
554,13105484,14354733,8331870.5,95789342
555,14601528,8585618,10702919,600000
556,13255538,6125053.5,1169113,4878242
557,15056251,7057920,8782769,22456509
558,14128831,17376238,28991858,46152411
559,18156654,18734382,20601914,37799643
560,1755037.1,309622.44,418462.34,16136
561,6810421.5,4687208,4388948.5,1600000
562,8184417,13222206,155264130,196482882
563,9791211,13219794,31808640,36606743
564,626712.1,6247225.5,678143.6,930349
565,957240.94,619037.5,896612.8,81010
566,1558673.6,11919568,8141976,7900000
567,16841522,10755631,35249920,36893721
568,3662159.8,5815798.5,4595583,17768012
569,18719500,12498384,2098360.8,3900000
570,4712187,10897584,63431084,82719885
571,6707764,10706672,7788745,16829545
572,13194164,15024868,109675630,74901339
573,1430971.5,3546272.5,2778953.8,10013424
574,15737689,16640452,60163250,211952420
575,17468774,15139118,5678515.5,20710451
576,10722385,18334610,30693892,48878502
577,22775512,8006108.5,8326064,7800000
578,4369102,12706650,26094324,12434778
579,632301.56,1316171.1,1011442,88
580,14951340,5204630,2849608.5,8033397
581,6614247.5,7561470,6823983,461162
582,6391844,7589103,26798712,4001121
583,19916526,4634822,127033010,25836616
584,14375553,8696429,959278.56,1083282
585,9293766,18877474,19200804,310000000
586,9587716,2429903,434989.34,4400000
587,17370956,16067692,31314700,312242626
588,1838369.2,12587340,1262830.8,5000000
589,17962358,9001020,8941641,5684789
590,4877380.5,11897961,1007256.94,9016377
591,816363.3,114988.61,218156.97,234748
592,22248862,7694030.5,62314230,44703995
593,13171973,9261799,27490994,11176469
594,17044914,9417787,9787028,32648673
595,3967090.8,1126376.6,1026382.7,214000
596,8434710,16489101,27910282,21028755
597,2591223.2,13626890,87224450,100523181
598,7310294,8450494,16363973,1151330
599,20112158,13344450,31286920,42930462
600,14942016,19266508,83517350,356830601
601,5473268,6852227.5,3502291.8,60273173
602,6621893,18791848,129498940,117487473
603,10568743,13077002,65395480,53478166
604,13975171,15936882,3797624.2,26414658
605,3342040.5,6941766.5,13204201,11000000
606,20729782,8172715,4680640.5,228984
607,457018.75,1144673,249367.08,429766
608,6906174.5,762085.56,1267881.8,31576
609,10859385,13722763,6640758,273644
610,14511978,15397466,6778402,3769990
611,2744808.5,4700049.5,14130010,1983204
612,7047048,5529619.5,47910850,8203235
613,7636466.5,6421435.5,9526458,16980098
614,5949757.5,23123998,13983850,28900000
615,14020261,2501677.2,2544684.8,1107542
616,708084.7,863841.8,104196.79,170000
617,17238176,18027228,80414630,117270765
618,9909246,11445725,34971044,27092880
619,3403074.5,12921605,4706118,4971340
620,21048272,11276849,78492050,177841558
621,26629806,1966488,2884971,837000
622,9498217,13401798,4859652.5,4073489
623,11955522,21802914,190652350,137298489
624,6815177.5,16347867,31698700,84772742
625,7422097,16533168,70937290,146900000
626,12830239,8400733,2680344.5,5632086
627,17409490,7324414.5,11595143,29251596
628,5671907,12868879,4797413,6174491
629,10546008,12840082,1811946,12413650
630,2888679,7788912.5,49335890,109502303
631,19760274,13603213,10251155,1500000
632,6792757.5,11613516,8443212,30102717
633,16854640,25954070,264216100,330579719
634,13889898,8380180.5,11153052,44527234
635,20100986,18669268,93190480,20158808
636,10221497,14192610,4392720,36565280
637,11701494,11492230,49689244,150816700
638,14569208,13295159,1033965.2,1400000
639,2838159.2,1206445.1,6646342.5,8
640,3800953.5,15158607,66145492,73956241
641,19024242,24880060,102226600,97437106
642,20000998,12880027,70005850,288752301
643,11736671,9703259,5399642.5,8026971
644,7189069.5,845941.75,4586098.5,55240
645,9410227,8807700,3230798.8,1000000
646,11816293,20066738,85755970,94000000
647,14290316,12824465,12085485,2500000
648,16726034,8455216,6083279,16300000
649,11279505,15736860,98103230,192452832
650,9330780,14808564,23122928,135000000
651,4058455.8,12778197,3149234,12232628
652,9511498,1448602.8,600584.2,49501
653,11275200,11588993,593686.2,99000
654,23143968,3573607.8,2064571.1,553198
655,6464663,6594004,30262964,22200000
656,1794444.6,9444692,5936955.5,20079850
657,1972247.5,13496556,12191129,13000000
658,21169044,3758351.8,5595892,754249
659,25245692,15706378,25002936,8135031
660,11446852,19533836,363460480,132511035
661,5929530,3195066.2,4360684.5,10016934
662,8303037,13904552,16113539,16633035
663,5866625,5052642.5,6145510.5,18112929
664,4276599,3814653,840847,70
665,712114.2,718569.6,1411147.2,10
666,23425098,25096712,590636350,958400000
667,12663072,4831156.5,1010192,340911
668,13583000,5287703,1394583.8,419953
669,7054696.5,15890703,13020416,76578911
670,5841504,5007845.5,5832415,3100000
671,15670772,4151658.5,2403166.5,5900000
672,8076399,23968588,16130572,3485127
673,12645591,14611250,7582848.5,38376497
674,32395132,21726634,203783150,76932943
675,2550969.8,21880740,5000090,11411644
676,11009321,26687726,103983790,60700000
677,10590912,12332691,6453110,777423
678,15227705,4394973,3492928.2,1296937
679,25742260,6824978,5197590.5,8750000
680,19649742,21232552,245934180,544272402
681,11202354,22216564,60960056,11000000
682,8553822,14179871,5964749,46405336
683,10695471,15401134,105751280,183293131
684,14015503,20180744,921333000,1262886337
685,5828311.5,9066515,3068358.2,3788000
686,6304183,12138298,108370640,86234523
687,9502284,12336205,7029663.5,1382462
688,485424.84,1810031.9,367356.44,11294
689,20489908,19360498,357717000,850000000
690,651326.8,6178543.5,878435.44,6000000
691,14029928,16899502,21598954,11560806
692,16985130,16100296,51708696,180622424
693,6505740.5,8210639,7986089.5,2450846
694,16693040,8994501,3925177.2,5979292
695,780746.3,2407305.2,807751.5,2
696,10481643,11523450,6764203,20000000
697,2662035.8,4725423,24318998,265452
698,14983624,7792597.5,10105422,9077700
699,15327541,12332983,92649660,124827316
700,9218263,17991588,35103396,38748395
701,14975109,2224122.8,15694992,98450062
702,2786111.5,15925625,157855730,235483004
703,1846185.8,1313929.2,1236994.1,500000
704,9219882,19149560,130454296,59908565
705,6372211,12429691,91640810,36764313
706,11192596,11101519,1836124.2,14363400
707,7209135.5,5828817.5,3396773.5,13769
708,17984134,17120388,227773420,206172544
709,1825822.4,7996900,4212168.5,10400000
710,8790520,7251569.5,5240120,9504139
711,8766044,10875744,2882882.8,4385312
712,17054256,25160364,73021176,120455994
713,19162512,17934004,125157976,10166502
714,11005992,11120775,5602641.5,29174648
715,10992663,11915269,4313393,24188922
716,11403013,6532004,11732244,17953778
717,6801224,7815113,982207.44,14683921
718,14276066,21809610,8953361,32710894
719,8388608,8676613,2194510.8,190000
720,19269206,8328871.5,9406790,4469460
721,3593384.8,255396.42,1502739.9,62852
722,18547798,13793144,2959963.8,7399763
723,7994639,6499285.5,4211316,1044824
